1966,36,Angelica da Luz,cliente,2023/11/19 18:52:25,logou no sistema
1965,20,Jose Cabel,cliente,2023/11/19 18:52:04,logou no sistema
1964,20,Jose Cabel,cliente,2023/11/19 18:51:38,logou no sistema
1963,0,root,root,2023/11/19 18:51:19,logou no sistema
1962,0,root,root,2023/11/19 18:51:12,logou no sistema
1961,0,root,root,2023/11/19 18:51:10,logou no sistema
1960,19,Samuel Moreira,cliente,2023/11/19 18:51:07,Falhou em Calcular Saldo: mais detalhes:java.io.FileNotFoundException: DATA/clientes/19.dat (No such file or directory)
1959,0,root,root,2023/11/19 18:51:07,logou no sistema
1958,0,root,root,2023/11/19 18:51:05,logou no sistema
1957,0,root,root,2023/11/19 18:50:38,logou no sistema
1956,0,root,root,2023/11/19 18:50:36,logou no sistema
1955,0,root,root,2023/11/19 18:50:08,logou no sistema
1954,0,root,root,2023/11/19 18:50:00,logou no sistema
1953,36,Angelica da Luz,cliente,2023/11/19 18:49:34,logou no sistema
1952,0,root,root,2023/11/19 18:48:16,logou no sistema
1951,0,root,root,2023/11/19 18:48:14,logou no sistema
1950,3,Jorge Rafael,cliente,2023/11/19 18:48:11,Falhou em Calcular Saldo: mais detalhes:java.io.FileNotFoundException: DATA/clientes/3.dat (No such file or directory)
1949,0,root,root,2023/11/19 18:48:11,logou no sistema
1948,0,root,root,2023/11/19 18:48:06,logou no sistema
1947,17,Jose Santos,cliente,2023/11/19 18:48:03,Falhou em Calcular Saldo: mais detalhes:java.io.FileNotFoundException: DATA/clientes/17.dat (No such file or directory)
1946,0,root,root,2023/11/19 18:48:03,logou no sistema
1945,0,root,root,2023/11/19 18:48:00,logou no sistema
1944,18,Tom Silva,cliente,2023/11/19 18:47:56,Falhou em Calcular Saldo: mais detalhes:java.io.FileNotFoundException: DATA/clientes/18.dat (No such file or directory)
1943,0,root,root,2023/11/19 18:47:56,logou no sistema
1942,0,root,root,2023/11/19 18:47:54,logou no sistema
1941,19,Samuel Moreira,cliente,2023/11/19 18:47:50,Falhou em Calcular Saldo: mais detalhes:java.io.FileNotFoundException: DATA/clientes/19.dat (No such file or directory)
1940,0,root,root,2023/11/19 18:47:49,logou no sistema
1939,0,root,root,2023/11/19 18:47:45,logou no sistema
1938,0,root,root,2023/11/19 18:47:23,logou no sistema
1937,0,root,root,2023/11/19 18:47:20,logou no sistema
1936,0,root,root,2023/11/19 18:47:16,logou no sistema
1935,0,root,root,2023/11/19 18:47:09,logou no sistema
1934,0,root,root,2023/11/19 18:47:03,logou no sistema
1933,0,root,root,2023/11/19 18:46:59,logou no sistema
1932,0,root,root,2023/11/19 18:46:31,logou no sistema
1931,0,root,root,2023/11/19 18:46:27,logou no sistema
1930,0,root,root,2023/11/19 18:45:37,logou no sistema
1929,0,root,root,2023/11/19 18:45:35,logou no sistema
1928,0,root,root,2023/11/19 18:45:31,logou no sistema
1927,0,root,root,2023/11/19 18:45:27,logou no sistema
1926,0,root,root,2023/11/19 18:45:21,logou no sistema
1925,0,root,root,2023/11/19 18:45:12,logou no sistema
1924,0,root,root,2023/11/19 18:44:58,logou no sistema
1923,0,root,root,2023/11/19 18:44:55,logou no sistema
1922,0,root,root,2023/11/19 18:44:51,logou no sistema
1921,0,root,root,2023/11/19 18:44:47,logou no sistema
1920,0,root,root,2023/11/19 18:44:42,logou no sistema
1919,0,root,root,2023/11/19 18:44:37,logou no sistema
1918,36,Angelica da Luz,cliente,2023/11/19 18:43:19,logou no sistema
1917,36,Angelica da Luz,cliente,2023/11/19 18:42:59,logou no sistema
1916,36,Angelica da Luz,cliente,2023/11/19 18:42:05,logou no sistema
1915,31,Marcia Silva,funcionario,2023/11/19 18:41:48,Deposito de 161000.0 na conta ID36
1914,31,Marcia Silva,funcionario,2023/11/19 18:41:48,logou no sistema
1913,36,Angelica da Luz,cliente,2023/11/19 18:41:26,logou no sistema
1912,31,Marcia Silva,funcionario,2023/11/19 18:40:17,Levantamento de 100000.0 na conta ID36
1911,31,Marcia Silva,funcionario,2023/11/19 18:40:17,logou no sistema
1910,31,Marcia Silva,funcionario,2023/11/19 18:40:01,logou no sistema
1909,31,Marcia Silva,funcionario,2023/11/19 18:39:59,logou no sistema
1908,31,Marcia Silva,funcionario,2023/11/19 18:39:59,logou no sistema
1907,31,Marcia Silva,funcionario,2023/11/19 18:39:59,logou no sistema
1906,31,Marcia Silva,funcionario,2023/11/19 18:39:47,Levantamento de 50000.0 na conta ID36
1905,31,Marcia Silva,funcionario,2023/11/19 18:39:46,logou no sistema
1904,31,Marcia Silva,funcionario,2023/11/19 18:39:40,logou no sistema
1903,31,Marcia Silva,funcionario,2023/11/19 18:39:16,logou no sistema
1902,31,Marcia Silva,funcionario,2023/11/19 18:39:15,logou no sistema
1901,31,Marcia Silva,funcionario,2023/11/19 18:39:15,logou no sistema
1900,31,Marcia Silva,funcionario,2023/11/19 18:39:15,logou no sistema
1899,31,Marcia Silva,funcionario,2023/11/19 18:38:50,Levantamento de 10000.0 na conta ID36
1898,31,Marcia Silva,funcionario,2023/11/19 18:38:50,logou no sistema
1897,31,Marcia Silva,funcionario,2023/11/19 18:38:48,logou no sistema
1896,31,Marcia Silva,funcionario,2023/11/19 18:38:44,logou no sistema
1895,31,Marcia Silva,funcionario,2023/11/19 18:38:44,logou no sistema
1894,31,Marcia Silva,funcionario,2023/11/19 18:38:44,logou no sistema
1893,31,Marcia Silva,funcionario,2023/11/19 18:38:31,Levantamento de 1000.0 na conta ID36
1892,31,Marcia Silva,funcionario,2023/11/19 18:38:31,logou no sistema
1891,31,Marcia Silva,funcionario,2023/11/19 18:38:23,logou no sistema
1890,31,Marcia Silva,funcionario,2023/11/19 18:38:22,logou no sistema
1889,31,Marcia Silva,funcionario,2023/11/19 18:37:49,FALHOU Levantamento de 100000.0 na conta ID36
1888,31,Marcia Silva,funcionario,2023/11/19 18:37:49,logou no sistema
1887,31,Marcia Silva,funcionario,2023/11/19 18:37:31,logou no sistema
1886,31,Marcia Silva,funcionario,2023/11/19 18:37:25,logou no sistema
1885,31,Marcia Silva,funcionario,2023/11/19 18:37:25,logou no sistema
1884,31,Marcia Silva,funcionario,2023/11/19 18:37:25,logou no sistema
1883,31,Marcia Silva,funcionario,2023/11/19 18:37:24,logou no sistema
1882,36,Angelica da Luz,cliente,2023/11/19 18:36:05,logou no sistema
1881,31,Marcia Silva,funcionario,2023/11/19 18:34:51,Deposito de 1.0E8 na conta ID36
1880,31,Marcia Silva,funcionario,2023/11/19 18:34:51,logou no sistema
